,D,T,H
0,2020-01-22,30.887500000000003,49.1875
1,2020-01-23,30.062499999999996,56.6875
2,2020-01-24,28.087500000000002,72.9375
3,2020-01-25,28.012499999999996,73.9375
4,2020-01-26,27.912499999999998,67.5
5,2020-01-27,28.006250000000005,60.8125
6,2020-01-28,28.725,53.25
7,2020-01-29,30.462500000000006,52.8125
8,2020-01-30,31.287499999999998,49.4375
9,2020-01-31,30.88125,43.5625
10,2020-02-01,30.175,44.875
11,2020-02-02,30.89375,44.8125
12,2020-02-03,28.075,59.5
13,2020-02-04,25.85625,79.3125
14,2020-02-05,21.51875,96.75
15,2020-02-06,23.5,84.9375
16,2020-02-07,25.83125,76.25
17,2020-02-08,24.687499999999996,84.8125
18,2020-02-09,24.59375,78.8125
19,2020-02-10,23.7625,86.9375
20,2020-02-11,23.974999999999994,90.8125
21,2020-02-12,25.474999999999998,81.0
22,2020-02-13,25.162499999999994,82.4375
23,2020-02-14,25.79375,78.875
24,2020-02-15,27.712500000000002,71.375
25,2020-02-16,28.59375,70.1875
26,2020-02-17,28.481250000000003,65.5625
27,2020-02-18,28.41875,70.875
28,2020-02-19,27.19375000000001,74.9375
29,2020-02-20,23.756249999999998,61.25
30,2020-02-21,24.01875,61.25
31,2020-02-22,23.58125,86.875
32,2020-02-23,19.975,99.9375
33,2020-02-24,20.493750000000002,100.0
34,2020-02-25,24.462500000000002,89.875
35,2020-02-26,25.000000000000004,96.25
36,2020-02-27,24.481250000000003,87.625
37,2020-02-28,24.218749999999996,85.54
38,2020-02-29,23.73125,84.759
39,2020-03-01,25.68125,83.46
40,2020-03-02,25.375,82.931
41,2020-03-03,25.75625,82.6
42,2020-03-04,25.625,81.26
43,2020-03-05,24.525000000000002,80.247
44,2020-03-06,24.05625,79.458
45,2020-03-07,22.337500000000006,79.124
46,2020-03-08,22.53125,78.987
47,2020-03-09,20.906250000000004,78.547
48,2020-03-10,20.59375,76.5
49,2020-03-11,21.59375,75.55
50,2020-03-12,21.2375,74.625
51,2020-03-13,22.062499999999996,65.4375
52,2020-03-14,20.51875,70.5625
53,2020-03-15,20.393749999999997,73.625
54,2020-03-16,20.212500000000002,65.375
55,2020-03-17,19.85625,61.625
56,2020-03-18,18.9125,70.0
57,2020-03-19,19.6375,73.0625
58,2020-03-20,20.4375,73.9375
59,2020-03-21,22.299999999999997,69.5
60,2020-03-22,24.075000000000003,63.625
61,2020-03-23,22.418750000000003,55.0
62,2020-03-24,23.856250000000003,70.0625
63,2020-03-25,23.30625,72.25
64,2020-03-26,22.106250000000003,82.875
65,2020-03-27,23.068749999999998,73.5625
66,2020-03-28,21.700000000000003,74.9375
67,2020-03-29,22.825000000000003,71.75
68,2020-03-30,23.681250000000002,69.25
69,2020-03-31,24.006249999999998,73.0
70,2020-04-01,23.125,64.875
71,2020-04-02,24.199999999999996,64.0
72,2020-04-03,23.4875,75.0
73,2020-04-04,23.243750000000002,78.5625
74,2020-04-05,17.599999999999998,67.3125
75,2020-04-06,16.206250000000004,66.1875
76,2020-04-07,16.843750000000004,64.0
77,2020-04-08,18.63125,65.6875
78,2020-04-09,22.024999999999995,66.1875
79,2020-04-10,23.36875,61.6875
80,2020-04-11,21.531250000000004,57.75
81,2020-04-12,16.675,50.9375
82,2020-04-13,16.6,61.4375
83,2020-04-14,21.30625,57.625
84,2020-04-15,20.55,57.5
85,2020-04-16,20.612499999999994,56.0
86,2020-04-17,22.7625,48.625
87,2020-04-18,19.65,54.6875
88,2020-04-19,17.80625,54.5625
89,2020-04-20,15.318750000000001,54.0
90,2020-04-21,19.15,43.875
91,2020-04-22,20.993750000000002,43.3125
92,2020-04-23,19.356250000000003,49.75
93,2020-04-24,19.55,46.625
94,2020-04-25,18.1125,50.6875
95,2020-04-26,20.40625,48.5625
96,2020-04-27,19.94375,47.0
97,2020-04-28,21.2375,53.9375
98,2020-04-29,23.024999999999995,58.125
99,2020-04-30,20.575,67.25
100,2020-05-01,11.8,55.75
101,2020-05-02,10.499999999999998,60.8125
102,2020-05-03,12.3625,58.0625
103,2020-05-04,11.81875,57.25
104,2020-05-05,12.656250000000002,51.625
105,2020-05-06,15.45,53.625
106,2020-05-07,18.3,54.1875
107,2020-05-08,17.7,59.6875
108,2020-05-09,19.349999999999994,57.4375
109,2020-05-10,14.643749999999999,59.5
110,2020-05-11,10.18125,53.5625
111,2020-05-12,12.28125,53.0625
112,2020-05-13,16.96875,54.6875
113,2020-05-14,15.89375,54.125
114,2020-05-15,14.637500000000003,56.9375
